TransactionID,CustomerTenureYears,CustomerSegment,EstimatedIncome,CreditScore,RiskFlag,FraudProbability,ChannelType,CustomerBehaviorScore
TXN04133,2,Mid Value,2090395,853,Medium,0.235,Autopay,83
TXN04134,8,Mid Value,1143518,682,Low,0.018,Autopay,5
TXN04135,8,Low Value,978367,889,High,0.087,Intent,2
TXN04136,5,Premium,783202,871,High,0.21,QR,2
TXN04137,7,High Value,728487,891,Medium,0.156,Mobile,37
TXN04138,0,Premium,3115967,695,High,0.197,Intent,39
TXN04139,6,Low Value,282839,595,Medium,0.14,Intent,82
TXN04140,4,High Value,3063218,878,Low,0.167,Intent,25
TXN04141,9,Premium,2382290,591,Low,0.137,Mobile,53
TXN04142,6,Premium,2663010,673,Low,0.194,QR,52
TXN04143,9,High Value,272359,731,High,0.05,Intent,93
TXN04144,3,High Value,2420307,672,Medium,0.078,Intent,85
TXN04145,2,Mid Value,2414815,734,Low,0.081,Autopay,70
TXN04146,2,High Value,1971792,871,Medium,0.138,Mobile,41
TXN04147,4,Low Value,354124,738,Low,0.046,Intent,94
TXN04148,3,High Value,2580863,646,Medium,0.011,QR,2
TXN04149,6,Premium,2084204,669,Low,0.074,Mobile,22
TXN04150,8,Mid Value,2818576,858,High,0.247,Mobile,31
TXN04151,4,Mid Value,215552,678,High,0.239,Mobile,89
TXN04152,2,High Value,975594,816,Medium,0.127,Intent,70
TXN04153,0,High Value,2274544,703,Low,0.248,Autopay,97
TXN04154,6,High Value,419840,702,Medium,0.134,QR,14
TXN04155,5,Mid Value,623084,722,Low,0.206,QR,83
TXN04156,5,Mid Value,2975685,583,High,0.156,QR,17
TXN04157,2,High Value,529975,747,Medium,0.038,QR,96
TXN04158,9,Low Value,1387615,724,Low,0.197,Intent,83
TXN04159,5,Low Value,1944957,805,High,0.005,Intent,61
TXN04160,3,Low Value,3022178,700,Medium,0.112,Intent,33
TXN04161,0,Premium,1977286,685,Medium,0.025,QR,53
TXN04162,3,High Value,2929473,565,High,0.071,QR,30
TXN04163,3,Mid Value,1564271,784,High,0.2,Intent,5
TXN04164,6,Premium,2110158,721,High,0.003,Intent,39
TXN04165,6,Mid Value,2731687,875,Low,0.006,Autopay,91
TXN04166,8,High Value,2566263,897,Low,0.219,Autopay,71
TXN04167,6,Low Value,1805547,693,Medium,0.082,Mobile,62
TXN04168,4,Mid Value,1183634,874,Medium,0.006,Mobile,34
TXN04169,1,Premium,2588128,582,Medium,0.203,Intent,5
TXN04170,2,Low Value,1671940,551,Low,0.089,Intent,61
TXN04171,0,Premium,882759,587,Low,0.221,QR,84
TXN04172,1,Mid Value,937677,665,Medium,0.187,QR,50
TXN04173,9,Low Value,1672485,841,Low,0.08,QR,89
TXN04174,0,High Value,1976671,748,Low,0.236,Mobile,97
TXN04175,8,Premium,2128851,591,High,0.122,Intent,74
TXN04176,0,Mid Value,2027620,550,Low,0.197,Intent,61
TXN04177,1,Low Value,2205796,820,Medium,0.23,QR,54
TXN04178,2,High Value,899000,885,Medium,0.012,Autopay,59
TXN04179,5,Low Value,1237472,898,High,0.043,Intent,60
TXN04180,1,Low Value,1993962,841,High,0.162,QR,57
TXN04181,7,Premium,2729638,563,Medium,0.093,Autopay,87
TXN04182,6,High Value,1832569,610,Medium,0.104,QR,99
TXN04183,4,High Value,2664460,725,Medium,0.028,QR,99
TXN04184,0,High Value,520369,808,Low,0.181,QR,98
TXN04185,5,High Value,2263429,740,Medium,0.132,Mobile,85
TXN04186,5,Mid Value,3179439,715,Medium,0.131,Mobile,83
TXN04187,4,Mid Value,1736788,882,High,0.174,Autopay,83
TXN04188,5,Mid Value,2694375,831,Medium,0.231,QR,46
TXN04189,2,Mid Value,1142617,724,Medium,0.238,Intent,92
TXN04190,3,Premium,714756,756,High,0.204,Mobile,78
TXN04191,1,Mid Value,2688205,610,Medium,0.168,Intent,90
TXN04192,6,Low Value,2349294,625,Low,0.098,Autopay,95
TXN04193,0,High Value,2729937,801,High,0.046,Autopay,26
TXN04194,1,High Value,1283241,599,High,0.123,Autopay,38
TXN04195,3,Premium,2018576,592,Low,0.08,Autopay,73
TXN04196,5,Low Value,2279425,813,Medium,0.216,Autopay,58
TXN04197,7,High Value,2420072,711,Low,0.192,QR,60
TXN04198,5,Low Value,1583129,564,Medium,0.052,Autopay,67
TXN04199,9,Premium,2111475,658,Medium,0.026,Mobile,96
TXN04200,2,Premium,2000559,868,High,0.123,Autopay,83
TXN04201,3,Premium,672577,632,High,0.043,Intent,29
TXN04202,6,Premium,2571717,818,Medium,0.034,Mobile,86
TXN04203,1,High Value,1983366,644,Low,0.109,Intent,17
TXN04204,6,High Value,964923,741,Low,0.026,Mobile,17
TXN04205,7,Low Value,2638131,751,Low,0.161,QR,10
TXN04206,5,High Value,1125405,885,Medium,0.128,QR,15
TXN04207,3,High Value,2706654,745,High,0.027,QR,10
TXN04208,3,Mid Value,2925552,665,Medium,0.246,Intent,55
TXN04209,6,Premium,1505607,665,Low,0.006,QR,74
TXN04210,0,High Value,1966890,708,High,0.173,Autopay,42
TXN04211,2,High Value,1446113,748,Low,0.213,QR,71
TXN04212,4,High Value,1712125,716,High,0.079,QR,47
TXN04213,0,Low Value,928220,618,Low,0.05,Mobile,52
TXN04214,5,Mid Value,1343165,734,High,0.249,QR,19
TXN04215,5,Premium,845292,558,High,0.199,Intent,4
TXN04216,5,High Value,2587145,551,Low,0.09,Mobile,82
TXN04217,6,Low Value,2965125,719,Low,0.217,Mobile,56
TXN04218,0,Premium,2809182,810,Medium,0.025,Mobile,72
TXN04219,6,Low Value,2894717,641,High,0.197,Intent,50
TXN04220,9,High Value,249509,763,Medium,0.217,Mobile,72
TXN04221,6,Premium,2239522,684,High,0.224,Intent,93
TXN04222,5,Premium,2335451,712,High,0.237,Autopay,43
TXN04223,5,Premium,1717869,816,Medium,0.089,Intent,82
TXN04224,9,Premium,1247912,555,High,0.077,Mobile,16
TXN04225,1,Mid Value,1477468,711,Low,0.144,QR,22
TXN04226,2,High Value,352789,670,High,0.17,Intent,90
TXN04227,5,Premium,1143071,564,Low,0.123,QR,65
TXN04228,4,Low Value,1377269,572,High,0.094,Mobile,41
TXN04229,4,Premium,538469,773,High,0.061,Autopay,93
TXN04230,2,High Value,2722143,762,Low,0.169,Intent,3
TXN04231,2,Low Value,1991061,885,Medium,0.07,Autopay,88
TXN04232,9,Premium,892241,891,High,0.022,Intent,77
TXN04233,7,Premium,2931416,837,Low,0.016,Mobile,12
TXN04234,6,Mid Value,3082064,640,Low,0.135,Autopay,12
TXN04235,5,Mid Value,905406,867,Medium,0.018,Intent,25
TXN04236,2,High Value,1206654,852,High,0.023,Autopay,7
TXN04237,7,Premium,3191118,843,Low,0.248,Intent,53
TXN04238,3,High Value,489086,888,High,0.125,Mobile,7
TXN04239,4,Premium,848426,625,Low,0.106,Mobile,14
TXN04240,4,Premium,516560,687,Low,0.096,QR,49
TXN04241,7,Premium,837882,559,Low,0.234,Autopay,59
TXN04242,4,Mid Value,3011210,625,Medium,0.127,QR,59
TXN04243,3,Low Value,2741663,694,Low,0.058,QR,13
TXN04244,2,Low Value,1310595,621,High,0.186,QR,62
TXN04245,2,Low Value,2862164,664,Low,0.138,Autopay,23
TXN04246,0,Low Value,3156832,736,Low,0.161,Autopay,4
TXN04247,4,High Value,1242186,589,Medium,0.183,Mobile,45
TXN04248,8,Premium,1330436,558,Low,0.155,Intent,99
TXN04249,7,Low Value,2127871,580,Medium,0.216,Mobile,52
TXN04250,0,Premium,847063,801,Medium,0.157,Mobile,31
TXN04251,5,Premium,1239408,713,Medium,0.105,Autopay,11
TXN04252,0,Mid Value,1752659,762,Medium,0.176,QR,45
TXN04253,4,Low Value,1769013,572,Medium,0.12,Mobile,90
TXN04254,6,Mid Value,2710123,739,Low,0.064,QR,45
TXN04255,8,Low Value,1379969,583,Medium,0.194,Autopay,10
TXN04256,7,Low Value,2661434,795,Medium,0.067,Intent,72
TXN04257,9,Mid Value,2645074,772,Low,0.171,Mobile,40
TXN04258,4,Low Value,322440,739,Medium,0.124,Intent,63
TXN04259,4,Premium,1686007,865,High,0.021,Mobile,3
TXN04260,9,Mid Value,945896,697,Low,0.186,QR,17
TXN04261,2,Mid Value,3117086,728,Medium,0.066,Autopay,47
TXN04262,3,Mid Value,2544663,696,High,0.144,QR,22
TXN04263,2,Low Value,1605654,775,High,0.19,Intent,16
TXN04264,2,Low Value,3158374,856,Low,0.142,QR,63
TXN04265,2,Low Value,1903356,660,Low,0.147,Intent,60
TXN04266,5,Low Value,1677807,818,Low,0.161,Intent,71
TXN04267,8,Mid Value,2411515,674,Medium,0.092,Autopay,46
TXN04268,2,Premium,3055742,620,Medium,0.019,Autopay,4
TXN04269,8,Low Value,412418,804,Low,0.069,Autopay,90
TXN04270,5,High Value,2020747,632,High,0.182,Autopay,29
TXN04271,5,High Value,1984542,762,Low,0.118,Intent,63
TXN04272,0,Mid Value,867060,715,High,0.185,Mobile,67
TXN04273,0,High Value,1622428,660,Medium,0.09,Intent,93
TXN04274,0,Mid Value,1958758,680,High,0.098,Mobile,6
TXN04275,5,Low Value,2339127,604,Medium,0.082,Autopay,60
TXN04276,5,High Value,1849520,754,Low,0.187,Mobile,95
TXN04277,2,Mid Value,897802,558,High,0.19,Mobile,13
TXN04278,1,Premium,749660,615,Low,0.139,Autopay,48
TXN04279,9,Low Value,3166568,558,Medium,0.12,Intent,53
TXN04280,6,Mid Value,1861204,639,Low,0.154,Intent,79
TXN04281,0,Low Value,1070357,790,Medium,0.026,Intent,16
TXN04282,4,High Value,1026212,626,High,0.225,Intent,92
TXN04283,2,High Value,637379,562,Medium,0.204,Mobile,88
TXN04284,8,Low Value,1073037,692,High,0.163,Intent,99
TXN04285,0,Mid Value,1361330,775,Low,0.232,Mobile,84
TXN04286,7,High Value,2658171,838,High,0.059,Autopay,97
TXN04287,0,Premium,2668626,747,Medium,0.084,Autopay,61
TXN04288,8,Premium,1787621,633,Medium,0.005,Mobile,59
TXN04289,1,Mid Value,2259739,557,Medium,0.08,QR,11
TXN04290,8,Premium,1565488,757,Medium,0.182,Autopay,45
TXN04291,4,Low Value,2681928,676,High,0.012,Intent,13
TXN04292,5,Low Value,2395706,771,Medium,0.088,Mobile,21
TXN04293,5,Mid Value,685677,669,Medium,0.187,Intent,10
TXN04294,2,Mid Value,1619627,884,Low,0.224,Mobile,5
TXN04295,8,High Value,1668410,652,Low,0.167,QR,60
TXN04296,2,Mid Value,1676842,587,Medium,0.119,Intent,63
TXN04297,1,Premium,2136164,733,Medium,0.083,Mobile,57
TXN04298,2,Premium,2495416,643,Medium,0.125,Autopay,54
TXN04299,5,Premium,383147,685,Medium,0.054,QR,37
TXN04300,5,High Value,844776,663,Low,0.081,Intent,36
TXN04301,0,High Value,1237365,671,Low,0.188,Mobile,91
TXN04302,4,Low Value,751068,866,Low,0.19,QR,26
TXN04303,8,Mid Value,1494532,634,Medium,0.24,Mobile,53
TXN04304,3,Low Value,397688,575,Low,0.069,Intent,40
TXN04305,9,Premium,1241964,869,Medium,0.048,Mobile,64
TXN04306,3,Low Value,1281208,826,Medium,0.013,Mobile,91
TXN04307,1,Premium,1609083,621,Low,0.07,QR,80
TXN04308,3,Low Value,615366,568,Medium,0.206,Mobile,50
TXN04309,6,High Value,2973801,706,Medium,0.164,Mobile,64
TXN04310,5,Premium,1034535,790,Low,0.017,Mobile,40
TXN04311,0,Premium,2693815,648,Medium,0.009,Intent,25
TXN04312,9,Low Value,1844345,565,Medium,0.013,QR,81
TXN04313,0,Premium,1061041,703,Low,0.146,Intent,2
TXN04314,3,Low Value,3077126,651,Low,0.193,Intent,95
TXN04315,5,Premium,1100618,786,High,0.155,Intent,92
TXN04316,0,Premium,958151,659,Medium,0.141,Intent,32
TXN04317,5,Premium,1265523,819,High,0.192,Mobile,66
TXN04318,8,Mid Value,1897922,675,High,0.163,QR,60
TXN04319,0,Mid Value,1905526,724,Medium,0.124,Intent,19
TXN04320,3,Premium,352179,734,Medium,0.037,Mobile,61
TXN04321,7,High Value,3173350,663,Low,0.018,QR,36
TXN04322,5,High Value,1808530,897,Low,0.13,QR,87
TXN04323,4,Premium,2365541,752,High,0.064,Mobile,93
TXN04324,4,Mid Value,1920058,709,High,0.051,Autopay,48
TXN04325,7,Premium,2239140,695,Medium,0.183,Intent,54
TXN04326,3,Low Value,1158636,551,Medium,0.072,QR,82
TXN04327,5,Low Value,1205761,870,High,0.163,QR,24
TXN04328,1,High Value,2853409,689,Medium,0.182,Mobile,42
TXN04329,5,Low Value,1739818,557,Low,0.064,Intent,73
TXN04330,0,Premium,2544604,877,High,0.029,Mobile,83
TXN04331,7,High Value,2513306,842,Low,0.108,Mobile,3
TXN04332,6,Mid Value,1884344,802,High,0.007,QR,39
TXN04333,2,High Value,2613104,809,Medium,0.162,QR,28
TXN04334,8,Mid Value,1652263,667,High,0.115,QR,40
TXN04335,5,High Value,1356371,653,Low,0.193,Autopay,42
TXN04336,5,Low Value,456516,601,Low,0.213,QR,2
TXN04337,3,High Value,2658208,717,High,0.062,QR,58
TXN04338,3,Premium,2326610,693,Low,0.056,QR,50
TXN04339,6,High Value,848924,832,Low,0.148,Mobile,18
TXN04340,0,Low Value,2388900,631,High,0.025,Intent,6
TXN04341,4,Low Value,1783863,745,Medium,0.066,Autopay,96
TXN04342,3,Premium,823702,791,Low,0.228,Mobile,38
TXN04343,7,High Value,879595,831,High,0.136,QR,41
TXN04344,8,High Value,1416094,678,Low,0.056,Mobile,70
TXN04345,5,Premium,2854674,564,Medium,0.215,Mobile,17
TXN04346,2,High Value,1844599,712,High,0.147,QR,31
TXN04347,5,High Value,2690599,695,Low,0.075,Mobile,77
TXN04348,1,High Value,2873714,875,Medium,0.249,Autopay,52
TXN04349,5,High Value,770923,605,Low,0.185,QR,48
TXN04350,6,Premium,1488792,679,Medium,0.193,Intent,89
TXN04351,6,Mid Value,1511220,662,Medium,0.225,Autopay,20
TXN04352,0,Mid Value,1622873,552,High,0.195,Mobile,95
TXN04353,8,High Value,1261245,819,Low,0.096,Autopay,23
TXN04354,2,Premium,2688878,885,High,0.115,Autopay,76
TXN04355,8,Low Value,2841720,611,Medium,0.235,Intent,27
TXN04356,2,Premium,1138188,842,Low,0.223,Autopay,43
TXN04357,8,High Value,2702856,708,Low,0.228,Autopay,12
TXN04358,9,Low Value,2284369,865,Low,0.212,QR,66
TXN04359,8,Premium,2191001,846,High,0.014,Mobile,22
TXN04360,1,Low Value,2803199,727,High,0.194,Intent,56
TXN04361,4,Mid Value,901560,851,Low,0.129,Autopay,89
TXN04362,4,Mid Value,2965571,551,Medium,0.11,Autopay,48
TXN04363,6,Premium,2099940,868,High,0.198,Mobile,42
TXN04364,1,High Value,2868324,747,High,0.013,Mobile,32
TXN04365,3,Mid Value,2560539,744,High,0.13,QR,51
TXN04366,4,Premium,1400951,727,Low,0.116,QR,20
TXN04367,7,High Value,1393117,887,High,0.102,QR,21
TXN04368,6,Mid Value,437244,895,Low,0.043,Intent,53
TXN04369,8,Premium,1737894,723,Low,0.056,QR,5
TXN04370,7,Mid Value,990743,767,High,0.131,QR,93
TXN04371,6,High Value,1227400,556,Low,0.162,Mobile,96
TXN04372,7,Mid Value,1483546,749,Low,0.219,QR,88
TXN04373,2,Premium,2418655,586,Low,0.026,Mobile,64
TXN04374,6,Premium,1212892,695,High,0.019,Intent,43
TXN04375,6,Low Value,2716829,844,High,0.143,Intent,39
TXN04376,9,Mid Value,1064598,669,Low,0.078,QR,21
TXN04377,3,Mid Value,1186592,766,Low,0.136,Mobile,95
TXN04378,7,Low Value,275821,810,Medium,0.036,Mobile,92
TXN04379,4,Mid Value,335180,733,Low,0.041,Intent,74
TXN04380,1,Mid Value,1211156,887,Medium,0.18,QR,57
TXN04381,4,High Value,757174,739,Medium,0.214,Intent,46
TXN04382,6,Mid Value,2586477,865,Low,0.225,QR,42
TXN04383,2,High Value,712696,577,Low,0.03,Intent,11
TXN04384,3,Low Value,658905,831,Low,0.18,Autopay,37
TXN04385,7,High Value,1957648,756,Medium,0.208,Autopay,82
TXN04386,5,Premium,1772212,587,Medium,0.004,Autopay,7
TXN04387,0,Mid Value,908870,633,Low,0.227,QR,10
TXN04388,7,Low Value,1323933,727,Low,0.182,Autopay,78
TXN04389,3,Premium,2839860,714,Medium,0.076,QR,61
TXN04390,7,Mid Value,3050683,653,High,0.025,Intent,14
TXN04391,0,Mid Value,1665465,809,High,0.039,Mobile,58
TXN04392,4,Mid Value,941757,825,Medium,0.237,QR,5
TXN04393,4,Mid Value,2405111,774,High,0.09,Mobile,45
TXN04394,2,Premium,2000891,816,High,0.058,Mobile,81
TXN04395,4,High Value,1847287,836,Medium,0.155,Mobile,56
TXN04396,4,Mid Value,713866,642,High,0.058,Autopay,53
TXN04397,3,Low Value,1099615,561,Medium,0.078,QR,80
TXN04398,6,Mid Value,1060386,670,High,0.211,QR,46
TXN04399,9,High Value,840030,757,High,0.138,QR,2
TXN04400,0,Low Value,2518774,706,Low,0.236,Intent,83
TXN04401,7,Premium,186053,784,Medium,0.086,QR,90
TXN04402,8,Premium,639190,705,Low,0.137,QR,65
TXN04403,7,Low Value,1251915,568,Medium,0.105,Intent,29
TXN04404,9,Mid Value,604417,558,Medium,0.216,Autopay,12
TXN04405,9,High Value,2879455,862,Low,0.234,Mobile,50
TXN04406,4,High Value,468249,855,High,0.013,Mobile,15
TXN04407,7,High Value,2248311,598,High,0.11,QR,30
TXN04408,9,Low Value,1969635,565,High,0.236,Mobile,14
TXN04409,4,Premium,1937974,885,Medium,0.048,Intent,49
TXN04410,2,Mid Value,515820,561,Low,0.07,Mobile,41
TXN04411,2,Low Value,1457021,613,Medium,0.228,QR,14
TXN04412,8,Premium,1642348,822,Low,0.172,Intent,41
TXN04413,5,Low Value,1647670,794,Medium,0.159,Autopay,9
TXN04414,3,High Value,1603677,599,High,0.066,QR,13
TXN04415,5,Mid Value,1400346,824,Medium,0.017,QR,15
TXN04416,0,Premium,319735,678,Medium,0.097,Intent,75
TXN04417,3,Low Value,295402,711,Medium,0.182,Mobile,76
TXN04418,5,Mid Value,298888,740,High,0.157,Autopay,60
TXN04419,4,Low Value,502258,763,Low,0.054,Intent,81
TXN04420,1,High Value,1763538,898,Low,0.189,Intent,68
TXN04421,5,Premium,654261,813,Low,0.229,Intent,71
TXN04422,0,Mid Value,2355228,766,High,0.072,QR,92
TXN04423,3,Low Value,1407742,783,Medium,0.141,Mobile,63
TXN04424,6,Premium,1225871,737,High,0.16,QR,97
TXN04425,5,Premium,2445261,797,Medium,0.138,Autopay,86
TXN04426,8,Low Value,2308043,607,Medium,0.126,Autopay,80
TXN04427,9,High Value,2067675,631,Medium,0.14,Autopay,81
TXN04428,1,Mid Value,1224960,789,High,0.065,QR,51
TXN04429,4,Mid Value,3019357,663,High,0.061,QR,13
TXN04430,6,High Value,2091055,807,High,0.21,Intent,99
TXN04431,5,Mid Value,1533424,687,High,0.08,Intent,14
TXN04432,0,Premium,712062,642,High,0.023,Intent,48
TXN04433,8,High Value,1467943,743,Medium,0.164,Autopay,42
TXN04434,9,High Value,1903231,678,Medium,0.116,QR,70
TXN04435,9,Low Value,1203891,872,Low,0.12,Autopay,95
TXN04436,3,Mid Value,1421543,631,Low,0.033,Autopay,6
TXN04437,3,High Value,1846555,885,Medium,0.227,Mobile,95
TXN04438,0,Premium,3010119,864,Low,0.191,Mobile,30
TXN04439,6,High Value,271736,700,Low,0.008,Intent,47
TXN04440,9,Mid Value,500276,658,High,0.234,QR,96
TXN04441,6,Premium,1153518,733,High,0.18,QR,81
TXN04442,1,Mid Value,1385285,760,High,0.244,QR,76
TXN04443,2,High Value,2312386,885,Low,0.173,Intent,89
TXN04444,8,Premium,998066,726,Low,0.195,Autopay,77
TXN04445,0,Premium,1821608,611,Medium,0.151,QR,63
TXN04446,6,High Value,2199244,876,High,0.169,QR,48
TXN04447,3,Mid Value,1547057,741,Medium,0.122,QR,44
TXN04448,9,Low Value,1401088,834,High,0.064,Autopay,5
TXN04449,3,High Value,1660876,579,Medium,0.068,Autopay,25
TXN04450,5,Low Value,668690,567,Low,0.068,Intent,72
TXN04451,2,Mid Value,1776473,566,Medium,0.231,QR,15
TXN04452,8,Low Value,3021469,626,Medium,0.172,Autopay,56
TXN04453,7,Mid Value,1019219,682,High,0.212,QR,74
TXN04454,9,Low Value,2825504,576,High,0.055,QR,97
TXN04455,8,Mid Value,2139594,670,High,0.248,QR,58
TXN04456,3,Low Value,2823544,792,Low,0.193,Intent,14
TXN04457,0,Mid Value,3090060,652,High,0.048,Autopay,89
TXN04458,5,Low Value,1850740,595,High,0.188,QR,33
TXN04459,3,High Value,1188768,625,Medium,0.132,Mobile,30
TXN04460,9,High Value,2673983,692,Low,0.117,QR,36
TXN04461,0,Mid Value,1058088,697,Low,0.065,Autopay,17
TXN04462,0,Mid Value,291860,751,Medium,0.244,Mobile,86
TXN04463,4,Mid Value,1299515,895,High,0.092,Mobile,72
TXN04464,3,Low Value,767210,767,Low,0.207,Intent,94
TXN04465,4,High Value,427329,585,High,0.125,Autopay,75
TXN04466,4,Mid Value,2214090,608,High,0.079,Mobile,36
TXN04467,5,High Value,1112177,826,Medium,0.035,Mobile,27
TXN04468,2,High Value,2261890,886,Low,0.208,Mobile,53
TXN04469,9,Premium,2038897,678,Low,0.119,Autopay,7
TXN04470,7,Low Value,283731,623,High,0.189,QR,37
TXN04471,3,Mid Value,2676133,727,Medium,0.227,Intent,6
TXN04472,9,High Value,1959017,661,Low,0.232,Intent,87
TXN04473,4,Premium,2058011,806,High,0.05,Intent,83
TXN04474,8,High Value,2860338,817,Low,0.227,Autopay,48
TXN04475,8,Premium,1348039,749,Low,0.236,Autopay,9
TXN04476,1,High Value,1207243,885,High,0.246,Intent,61
TXN04477,2,High Value,2220451,625,High,0.081,Autopay,46
TXN04478,6,Premium,1739039,608,High,0.159,Autopay,75
TXN04479,3,Premium,3170312,817,Low,0.24,Intent,96
TXN04480,3,Low Value,1976532,578,Medium,0.171,Autopay,63
TXN04481,5,High Value,1226052,888,Low,0.234,Intent,86
TXN04482,7,Premium,2338416,588,Medium,0.035,QR,99
TXN04483,9,Mid Value,2837586,643,Medium,0.14,Autopay,17
TXN04484,6,High Value,1821667,669,Low,0.105,QR,22
TXN04485,0,Mid Value,924620,605,Low,0.185,Intent,92
TXN04486,6,Premium,1156843,769,High,0.167,Intent,34
TXN04487,6,Premium,2323086,729,High,0.042,Autopay,40
TXN04488,5,Mid Value,3018485,663,Low,0.144,Autopay,86
TXN04489,6,Low Value,463724,834,High,0.041,Autopay,65
TXN04490,4,High Value,2374745,680,Medium,0.069,Mobile,51
TXN04491,3,High Value,545247,807,High,0.097,Mobile,40
TXN04492,4,Low Value,896123,598,High,0.169,Autopay,81
TXN04493,0,Low Value,1201181,622,High,0.15,Autopay,21
TXN04494,2,High Value,2748421,816,High,0.102,Mobile,62
TXN04495,9,Low Value,2780684,646,Low,0.089,Intent,86
TXN04496,4,High Value,2690213,598,Low,0.042,Autopay,86
TXN04497,1,High Value,2137132,727,High,0.045,Mobile,23
TXN04498,5,Low Value,2406918,696,High,0.096,QR,33
TXN04499,7,High Value,2335915,791,Medium,0.137,Autopay,48
TXN04500,8,Low Value,1014472,645,High,0.209,Autopay,20
TXN04501,6,Premium,1378307,791,Medium,0.186,Mobile,45
TXN04502,4,Mid Value,2080697,699,Medium,0.172,Autopay,84
TXN04503,7,Premium,435052,620,Medium,0.233,QR,35
TXN04504,4,Low Value,1064976,604,Low,0.222,Autopay,23
TXN04505,3,Low Value,1836986,688,High,0.022,Mobile,66
TXN04506,8,Mid Value,245937,822,Medium,0.18,Intent,26
TXN04507,3,Low Value,2748533,557,Low,0.139,Intent,84
TXN04508,3,High Value,2396727,690,High,0.128,QR,31
TXN04509,4,Low Value,239248,561,High,0.139,Mobile,19
TXN04510,4,Mid Value,2500475,710,Low,0.003,Mobile,63
TXN04511,9,Low Value,344821,624,Low,0.24,Mobile,74
TXN04512,6,High Value,1579225,584,Medium,0.058,Autopay,93
TXN04513,3,Premium,2263983,739,Medium,0.166,QR,38
TXN04514,5,Premium,244224,559,Medium,0.171,Autopay,29
TXN04515,4,Low Value,2509449,836,Medium,0.031,Autopay,70
TXN04516,4,Mid Value,2325499,740,Medium,0.124,Mobile,88
TXN04517,3,Premium,2138670,616,Medium,0.237,QR,9
TXN04518,7,Mid Value,3159768,742,Medium,0.069,Intent,49
TXN04519,8,High Value,2985296,780,Medium,0.162,Intent,83
TXN04520,8,Low Value,1881552,714,Low,0.151,QR,85
TXN04521,0,Low Value,2483587,808,High,0.053,Mobile,10
TXN04522,6,Premium,1475765,719,Medium,0.119,QR,36
TXN04523,6,Low Value,2043347,884,High,0.141,QR,13
TXN04524,8,Premium,355293,560,High,0.052,QR,98
TXN04525,5,Low Value,2992319,667,High,0.204,Mobile,58
TXN04526,7,Mid Value,1399142,790,Low,0.243,QR,14
TXN04527,2,Mid Value,2066449,839,Medium,0.141,QR,2
TXN04528,9,High Value,2180797,864,Low,0.173,Autopay,99
TXN04529,1,Mid Value,322930,707,High,0.093,Mobile,16
TXN04530,5,Low Value,1186756,689,Medium,0.165,QR,60
TXN04531,7,Premium,1382809,777,Low,0.039,Mobile,82
TXN04532,7,Premium,1921242,604,Medium,0.242,Intent,33
TXN04533,9,Mid Value,3154343,675,Low,0.24,Intent,5
TXN04534,5,Mid Value,1117442,823,High,0.054,Intent,45
TXN04535,3,Low Value,717087,816,High,0.016,Autopay,81
TXN04536,2,Mid Value,1114327,750,Medium,0.121,Autopay,97
TXN04537,1,Premium,1151384,844,Low,0.015,Intent,45
TXN04538,4,High Value,1247126,762,Low,0.111,Autopay,18
TXN04539,4,Low Value,1675868,579,Low,0.051,Autopay,82
TXN04540,0,Premium,1424863,801,High,0.125,Mobile,20
TXN04541,3,Mid Value,350239,713,High,0.011,Intent,41
TXN04542,6,High Value,3157303,652,High,0.149,Mobile,41
TXN04543,1,High Value,537571,861,Low,0.179,QR,69
TXN04544,8,Mid Value,2780044,663,Low,0.159,Intent,83
TXN04545,6,Low Value,1553537,793,High,0.058,Autopay,75
TXN04546,8,High Value,2605750,621,Low,0.169,Intent,97
TXN04547,0,Low Value,1342221,784,Low,0.08,Mobile,37
TXN04548,2,Premium,983501,737,High,0.085,Intent,75
TXN04549,6,Mid Value,2142225,650,High,0.173,Mobile,51
TXN04550,1,Low Value,2672930,865,Medium,0.085,Autopay,24
TXN04551,7,Mid Value,1694334,582,Medium,0.137,Autopay,90
TXN04552,2,Mid Value,527439,830,Medium,0.215,Autopay,56
TXN04553,8,Mid Value,293868,702,Medium,0.023,Autopay,9
TXN04554,1,High Value,1948513,711,High,0.139,QR,45
TXN04555,7,Low Value,2177046,699,High,0.177,Intent,27
TXN04556,4,Mid Value,701873,651,Medium,0.164,Mobile,42
TXN04557,6,Low Value,849962,593,High,0.245,Mobile,27
TXN04558,2,Mid Value,1697598,769,High,0.242,Mobile,42
TXN04559,2,High Value,1426755,899,Medium,0.054,Intent,79
TXN04560,0,Premium,2647487,840,High,0.007,Intent,24
TXN04561,6,Mid Value,2741810,668,High,0.202,Autopay,72
TXN04562,0,Low Value,1686070,568,Low,0.019,Autopay,47
TXN04563,7,Mid Value,287443,642,Medium,0.033,QR,34
TXN04564,8,Premium,1297613,865,Low,0.084,QR,43
TXN04565,6,Mid Value,720398,576,High,0.219,Autopay,79
TXN04566,0,Low Value,3150496,696,High,0.219,QR,29
TXN04567,9,High Value,2134185,744,Low,0.156,Intent,36
TXN04568,4,Low Value,3074926,649,High,0.015,QR,14
TXN04569,8,Premium,1472633,695,Low,0.1,Autopay,53
TXN04570,5,Mid Value,2979126,718,High,0.148,QR,40
